song_id,title,artist,mood,year,valence,energy,youtube_id
4yJH9kBPIqCNqbm3u0NMEC,Cowgirl Kiss,The Papers,Happy,2017,0.791,0.82,
1HQlCCa3tbPkx4hYPZBwbg,Roam,ODeath,Happy,2014,0.566,0.675,
4r1VhlFyX10yZaXwNYMbc7,Smooth Flow,Mark Cook,Happy,2014,0.855,0.71,
4kUrW7v7jUkcUlCkDqdspw,Cat Got Your Tongue,Demons Sing of the End,Happy,2018,0.557,0.974,
7HSEQpHEBUIejCz9Puc5cY,Silent Night,Nick Lowe,Happy,2013,0.864,0.722,
41V0tI6buDbdIUYdYsQMz2,The Mechanical Arm - Hippopotamomus,Momus,Happy,2018,0.679,0.555,
00u8eJtfBuzQ6dgD1j7d2P,Lost in Time,Survive Said The Prophet,Happy,2017,0.568,0.909,
293y2X1qWe54Sh01Y95eps,Betrayal,Munich Syndrome,Happy,2019,0.659,0.741,
2dYW2CTgpZbYrr27oBLWVf,Doctor Doctor,Travis Haddix,Happy,2013,0.759,0.809,
3VNdkCwerxfEg5VaAuoI0B,¿Cómo te quiero? (feat. Martina La Peligrosa),Sandoval,Happy,2017,0.86,0.847,
6782vyVZb6FgCJv4igeyFm,I Got Troubles,Bill Watkins,Happy,2012,0.96,0.619,
4qVDM3Tql0Isb2OG17Gi21,Writing's on the Wall,Tre Main,Happy,2018,0.68,0.762,
69Im9FsukfVorG11mOaZp6,"Deeper in Love - 12""",Tavares,Happy,2014,0.808,0.596,
6kbXE0HpsxYKa7OtppPWkB,Blackish Gray,Eliza Neals,Happy,2019,0.787,0.637,
20VkVOjmQ3RAQq3d6iSMr3,Crossed Over,Stefeeze,Happy,2020,0.677,0.817,
28u9JaFwO7GX2YNARkq37P,TTG (feat. Kevin Gates),YoungBoy Never Broke Again,Happy,2018,0.665,0.699,
7HAXq6OFwsmzdKIzBaYeEi,Money Is King,Van Dyke Parks,Happy,2013,0.833,0.634,
44c4XnMd53q7iJDbOUVHcv,Rien,ISHA,Happy,2018,0.714,0.718,
2GBeMrfzMsqLt6blXv4IwN,Lonely Life,Dick Diver,Happy,2014,0.855,0.853,
550YSGcu5pUrfxpuDj24E2,Mysterious (Unknown Entry Remix),Joe Vitale Jr,Happy,2012,0.668,0.871,
3e6A45hgnAN5sxetwQYlFV,Torn in Two,A Covenant of Thorns,Happy,2018,0.881,0.855,
1lHWIVmI2XiW0sM8qIOT9f,Get the Dogs,Lil B,Happy,2020,0.704,0.597,
3GGW7lFWBfi4v54ejxJQnP,Solitude Cola,Tim Presley,Happy,2016,0.803,0.568,
0hgGH0pkbzyvxSbB9dla1L,Leave Me,Tinsley Ellis,Happy,2015,0.898,0.938,
07xdyh0aIQqrQhkAzIEMpo,Не учи меня как жить,Anacondaz,Happy,2014,0.89,0.674,
6XaLau3J27sYoDnMEZWzhi,Caught Her Looking,Curren$y,Happy,2019,0.599,0.55,
1RuOBUtHIRV6ihsDFNBfMb,Dr. Seuss,Jonathan Sprout,Happy,2014,0.895,0.723,
3dXWkZk0IxdTTURJJSUWY0,We Look Good,Crayon Jones,Happy,2018,0.796,0.573,
5ZZq89R5JpXRIOD6WWEFwV,You Want It All,When Particles Collide,Happy,2014,0.684,0.946,
1Rk9TO61bMjJFhDD46TOe0,SLINGSHOT,GAWVI,Happy,2018,0.641,0.676,
621yo2vtUSnmTfmENTKoNm,Power,Marshmello,Happy,2018,0.97,0.895,
4N2G3mXfhjGobwTez071rz,The First Time,K.I.N.E.T.I.K.,Happy,2020,0.669,0.646,
07wbk15oNiLiQRcEteQQ2u,In Disguise,The Woolen Men,Happy,2017,0.915,0.713,
1di7hnkLMvMg5Cu7ldAxWC,Yal,Reggaeton Latino Band,Happy,2012,0.566,0.782,
4vGvDy8AWKwjihnPHIIYM0,Tough in These Streets,Rondarb,Happy,2020,0.633,0.777,
1TWGgHBLl1hOb2Y4BUQCqi,Funky Guitar Lessons,Dj Real,Happy,2016,0.703,0.802,
6d4HR3IAYqL959SgwfD5pB,Spanish Moon,Valerie Carter,Happy,2018,0.612,0.751,
5XeNOdf1X5iwunIJCtNbzb,Slip Slidn' Thang,The 44s With Special Guest Kid Ramos,Happy,2012,0.722,0.836,
7cSi7K9B4swi7814BG58jE,Hurt The Same,Chris Brown,Happy,2017,0.592,0.692,
12eGKe0qhmNyd3teJGKpSY,Roadtrip,Uroyan,Happy,2015,0.92,0.651,
4wbJ6wjZEby4LOya5yvu3c,Spend the Love,Vök,Happy,2018,0.561,0.574,
1twgMPX6KRG9A6B3Gyz7qu,We Built This City,Starship,Happy,2014,0.69,0.739,
5k06NOShiGa9ZxXHtavS2p,PAPÁS,Mau y Ricky,Happy,2020,0.929,0.852,
5ofR6qZd2NWWeCBgCfr4xb,L.W.A. (feat. Lil Eazy-E),Mr. Criminal,Happy,2016,0.55,0.59,
7j96poe09y4W3KpXChrfKe,Love Come Down,Rob Halligan,Happy,2014,0.941,0.777,
0VqyXjSbbT6GhYTY4R6dxD,Cumbias Colombianas: Carola / Mete y Saca / La Suavecita / Las Brujas,Los Tokes,Happy,2015,0.586,0.583,
37uJTLLfyxu6WLXOWNBdcx,Missin' My Niggas,Lil Face,Happy,2016,0.728,0.802,
4644ePHA9EZWnENHzitNml,I March Alone,Acerus,Happy,2016,0.673,0.859,
6GkjM364m0eMzWNNBJNjOw,"North Vallejo (feat. Yhung T.O., Slimmy B, DaBoii & Lul G)",SOB X RBE,Happy,2018,0.784,0.725,
6yMnYjs5ofAKjCDZpvpc9l,The Time It Takes,The Show Ponies,Happy,2017,0.714,0.897,
3fMVxxLfykr0S80F9H3aLF,Gorilla (Live),Project Grand Slam,Happy,2017,0.627,0.753,
7fNRv5bnXgOztViNG6EXrC,Argyle,The Bouncing Souls,Happy,2020,0.861,0.89,
4fHybXTebIFuiomAp2yMvH,Hooked on a Feeling (Ooga Chaka),Bo Donaldson & The Heywoods,Happy,2020,0.963,0.639,
4Z2Wn1YHy8jTSjl59jVk6d,Closer - Faustix & Imanos Remix,Tegan and Sara,Happy,2014,0.57,0.893,
07EPUI09mrg9KFF1spm451,Band of the Hawk (All Night Long),The Band of the Hawk,Happy,2013,0.712,0.725,
1PpJHhKQGF1dDDp39krHXZ,You're the Only Woman I Want,Daylon Wear,Happy,2019,0.553,0.898,
3KdztsdQrCZocS27EoZwwV,Respirator,Human Impact,Happy,2020,0.564,0.731,
5GfXKT8zyJDcrzTDqaVhd5,Giardinetto City Blues,Rizza Band,Happy,2020,0.863,0.678,
4RaEcOyOiHSJVIMgH3SZ9i,Last of a Dying Breed,Blaze N Kane,Happy,2015,0.827,0.913,
337wY2d0aJG01xqP4phna0,How In The Devil,Sean Costello,Happy,2014,0.849,0.898,
5SyHnpl5dpJLvMSMf1hEo5,Give Me Your Love - Instrumental,A.C. Jones & the Atomic Aces,Happy,2016,0.966,0.731,
3DvMkf0eGSV2gtHcBcSqqx,Don't Come Back,Simi Stone,Happy,2015,0.843,0.836,
3VltG5exYfaxGbNoE2gNcS,Devoted To U - Session Victim Extended Remix (Mixed),Folamour,Happy,2018,0.654,0.88,
2aOnaUJcVJRsS2bxdFlGBz,Lonely Days,Future Bible Heroes,Happy,2013,0.694,0.818,
54x2HpYzJbLdME7BV50wTM,Cansei de Você - Ao Vivo,Romero Ferro,Happy,2020,0.759,0.85,
7mQwiuZbzDZYhfbhL42umO,Rebirth,Brian Jasper Hull,Happy,2015,0.609,0.553,
2GjgQmEf9xML04dBXtrBpy,Pegel Ballert,Zensery,Happy,2019,0.677,0.715,
0DYWohYolUuBVrCG0fr2yG,Right Now,Mr. Vegas,Happy,2014,0.884,0.799,
43P4nXjOhL26pQmPB2Bpr5,N2u,David Gerald,Happy,2018,0.793,0.573,
6JhoktgM6ehpOZnOhzQ8gD,10 ans,Alizée,Happy,2013,0.661,0.78,
1rx3QYb2LqNJJSw1ZyGijV,What You Want,Nappy Nina,Happy,2019,0.661,0.738,
6nmdS4qDUUA6KQuczEY6s8,13 Fast Food Service - Alternative Version (Live),Plasmatics,Happy,2018,0.596,0.598,
3MjTKfIhl6XC7rTu6Rgo0d,Fadeaway,Bodeans,Happy,2018,0.964,0.887,
5JD92iArZNGvG9hmkKyyjL,One Is Just a Number,Alex Arrowsmith,Happy,2016,0.682,0.644,
6Cox0hL92HzsHIJVTyXItd,Think,Aretha Franklin,Happy,2014,0.836,0.838,
6zE4ETWodCN8AeZD4FHO3E,Redemption,Voy Dureezzo,Happy,2020,0.574,0.728,
3dpomoBtUTOshmM17QXmHD,World Is a Jungle,Legendary Boss,Happy,2017,0.701,0.676,
3Hg7Q7YQEwKMmWwUGmjRGB,The Luxury,Michael Antoniou,Happy,2012,0.74,0.984,
3sWL8y2vS23Yro5jiogocW,Ein König ohne Königin,Al & Chris,Happy,2014,0.576,0.702,
4SCzMJgGTdm98UKetTRmHj,Walking Blues,The Cash Box Kings,Happy,2013,0.759,0.568,
1f9PKVS21PhY1PFz4Ubvie,Ray's Dancing Maze,Them Moose Rush,Happy,2020,0.592,0.784,
2dSNiriDWc2O0H7AInmLew,Analog Man,Orleans,Happy,2018,0.668,0.571,
6bFfk6s8v54kIxGjugf1I1,I'm in Love with You - Victor Dinaire/Bissen Remix,Tony Moran,Happy,2018,0.565,0.808,
5JAJOSrKxRL7RLm3KV1I35,Recipe,$avage,Happy,2020,0.791,0.786,
3Yt2ph8Ko0JBANpdawzSF2,Major,Young Dolph,Happy,2018,0.637,0.651,
0LLOsZD7fdsQCQ6wPjBRPL,Take It Off,Rashaun Will,Happy,2015,0.77,0.788,
6ACbH22xAKMEaX4TzZwCcY,Heartbreaker -Instrumental-,FlowBack,Happy,2016,0.961,0.781,
5ilvy3K0k1bIrcsTt40CPo,Flat Busted,Project Grand Slam,Happy,2015,0.912,0.632,
00Fao7b2flX7tg8fI5DT51,Wir sind die Welt,Eva Luginger,Happy,2016,0.643,0.8,
0XTE0T8fcUPPrl6Y52mSs3,Full Circle,Kipori Baby Wolf Woods,Happy,2012,0.718,0.868,
0oGknPQnHc7Z7TjgJnUzEW,You Don't Love Me,Willie Cobbs,Happy,2014,0.788,0.83,
3HVBhSW7uP0PxbxlCS2rtj,You Dig,Nils Landgren Funk Unit,Happy,2014,0.779,0.699,
5QBmJaX3G4bG1h2thkzEmP,Darlin',Tom Zanetti,Happy,2015,0.906,0.778,
1NWvVuOgX99BR0RZKvIdIP,El Bele Bele,La Maxima 79,Happy,2019,0.962,0.758,
2aUVH0ZbHKOhZbK5Z8ChN1,Becoming - 2014 Remaster,Pantera,Happy,2014,0.673,0.947,
4hJcAdkaiExVfwT7qHCJyT,Bag Talk,JoviDaGod,Happy,2020,0.899,0.733,
5d0XvXuM81lWc5XQxGBZ7e,"Moving Out, Movin' On (Radio Edit)",Ray Nelson,Happy,2018,0.915,0.704,
2di7fEZ6PHsR7lhKAeQCnl,All I Do,B5,Happy,2018,0.56,0.555,
1H5luDLVyBcRqfqsOs5kvq,Guava,cherrygrove,Happy,2020,0.949,0.587,
2lAxhE5s3x7OS9sfhsgT1F,Regular - Korean Version,NCT 127,Happy,2018,0.878,0.801,
2MqZdSwOrOlyayuie6HqRb,Please Don't Send Me Fruitcake,The Wissmann Family,Happy,2015,0.861,0.595,
3RwtRt7tlNVp52JqbDddIf,Raising the Serpent,Richard Lloyd,Happy,2017,0.785,0.761,
3D8sT8D3f5egWSQnF0fbqu,Chicken Tenders,Dominic Fike,Happy,2020,0.72,0.741,
53d1tlSLNunnKIQAHpHRSO,Way 2 Rare,LUCKI,Happy,2019,0.699,0.678,
427qTMNUSrhYjNGEHySLwl,Beijing Baby,Jaguar Jonze,Happy,2020,0.668,0.686,
2yCbRPxitrniQ4QBBK75RW,Red Solo Cup - Johnny Mac Remix,Toby Keith,Happy,2012,0.715,0.786,
6cK1xlk27PDb1SkKez3ZNa,Change - Live,Killing Joke,Happy,2020,0.638,0.817,
2PXeCxg47XlG3Vj4FXBPLU,So Bad,Emarosa,Happy,2019,0.751,0.872,
5b7HOBcrxJeSUTZOG5JJv3,Promise,The Novel Ideas,Happy,2012,0.759,0.68,
48EpjVexQTeEUi9CiFiqsa,Up to Me,Cosmonaut on Vacation,Happy,2013,0.742,0.827,
4oEz9p44ONNVuJwfkakxVZ,27. Billy In The Low Ground,Mutt Poston,Happy,2015,0.981,0.736,
0ymWu5tPmy4Vk1SsHs8aHh,Astral Climax,Perkxsoundlabs,Happy,2013,0.633,0.983,
5LTu7EzFnXcwtYpknC8Ghf,Eight Bit Squish,Knova,Happy,2018,0.702,0.579,
5WPsE00gOzlioLPsFKEYM4,BLAST,Tokyo Machine,Happy,2017,0.56,0.937,
0wA37W8ZxH6QujBdA1fsOx,Reason,Scott Garred,Happy,2017,0.589,0.805,
43iqajDUuAE85Sd8OVIYXV,Mi Lupita,Marimba Maderas Chapinas,Happy,2016,0.962,0.67,
1IFlmojE8VeE1tulWoYZXh,Idiots and the Rich (Redux 2 Version) - dEk101 Remix,LorD and Master,Happy,2019,0.969,0.851,
6j3RQcsISqCiCFb9lq28qC,Love Attack,Bad Company,Happy,2018,0.656,0.771,
5jKZkqMgKgUA6iM5MnLEBj,RideWit Me,Skippa Da Flippa,Happy,2020,0.961,0.657,
1ixFz100Tmg66MB5eTKZcV,How Ya Move Out Here,JT Money,Happy,2020,0.771,0.674,
5AHy3VTDY722q6mEl37y1e,Don't Cross Me,Seaning,Happy,2019,0.892,0.67,
69iVrK1wLeoLmx6jurknun,Five Pointed Star to Warrior II,Emaney,Happy,2016,0.726,0.684,
6oc0e25nyni5MhT0wwylAC,I Got Into My Spaceship,Mike Noble,Happy,2013,0.913,0.583,
2tLefqCDFtKGk0MwGNNiOw,Nuclear Love [Vintage Mix],Pepper Coyote,Happy,2020,0.832,0.816,
68488Clvn8ErQXLmi1q9gS,Re-Elect That,The Bad Plus,Happy,2012,0.734,0.568,
7qrqQjdaJalneb5T62e21z,rapid life シンドローム,LiSA,Happy,2015,0.698,0.979,
3RM8WMOuZKQEsTqWHdgh3a,Crasher-Vania (Karaoke Version),Starbomb,Happy,2013,0.972,0.965,
5xX0k4G5h9OpmqUIBOxmPC,Peacock,7 Minutes Dead,Happy,2014,0.896,0.948,
44gz3bzhdcGUFgA5oc1wSu,Holiday,Little Mix,Happy,2020,0.648,0.676,
2laXBM3lazD5qbyZlzhf0y,Gems of Wisdom,Wordsmith,Happy,2015,0.556,0.768,
2SVVSPafsLNtdoFKzkeHat,Sign of Life,Shoes,Happy,2012,0.607,0.779,
7CLpmpjetxU80TLRwbU1R1,Straight Flow (Instrumental),The Legion,Happy,2014,0.622,0.814,
1ilPzowoTuhDH4YnXCsowI,She Wants It,Nick Moss Band,Happy,2014,0.744,0.604,
6wAW3EmUU730td3gEwXh0v,I Like What You Did,Roosevelt Sykes,Happy,2013,0.676,0.563,
1AFbk5pUg9yyAQphhEtFMQ,希望の路 (2019 Bob Ludwig Remastering),YELLOW MAGIC ORCHESTRA,Happy,2019,0.627,0.95,
7drasWv8zUPQDkgwNE4OnN,If I Hock My Guitar,Delbert McClinton,Happy,2019,0.859,0.899,
