song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0158,Tu Meri Dost Hai,Benny Dayal,Angry,4.33,NWdasSZcvHY,fallback
bw_0159,Mahek Bhi,Shreya Ghoshal,Angry,4.33,aqaI2UEG-ZI,fallback
bw_0160,Motorwada,Amit Trivedi,Angry,4.33,olDTiq_kv-8,fallback
bw_0161,Aise Naa Dekho,A.R. Rahman,Angry,4.33,bezD7E2MEU8,fallback
bw_0162,Badra Bahaar,Amit Trivedi,Angry,4.33,j2wQgX0Elpk,fallback
bw_0163,Raat Ka Nasha,K.S. Chitra,Angry,4.0,q7Mn3KrTrNg,acoustic
bw_0164,Raat Ka Nasha (Duet),Abhijeet,Angry,4.0,wQcecKaGoEI,acoustic
bw_0165,Duniya Rang Rangeeli Baba,Pankaj Mullick,Angry,5.0,U-Ne5sFSv10,fallback
bw_0166,Sapt Suran Teen Graam Gao Sab Gunijan,K.L. Saigal,Angry,5.0,G04LrEYepSQ,fallback
bw_0167,Khayalon Mein Kisi Ke Is Tarah Aaya Nahin Karte,Geeta Roy,Angry,5.0,NnQfdHjgk94,fallback
bw_0168,Yeh Hai Bombay Meri Jaan (Ae Dil Hai Mushkil Jeena Yahan),Mohammed Rafi,Angry,5.0,OShZhbjDA98,fallback
bw_0169,Jane Kya Tune Kahi Jane Kya Maine Suni,Geeta Dutt,Angry,5.0,mLGCAGHNTJU,fallback
bw_0170,Mora Gora Ang Laile,Lata Mangeshkar,Angry,5.0,77dP8x5rKAc,fallback
bw_0171,Baat Niklegi Toh Phir Door Talak Jayegi,Jagjit Singh,Angry,5.0,1MKdWpE_724,fallback
bw_0172,Chhoti Si Kahaani Se,Asha Bhosle,Angry,5.0,4GWmE0VbNbk,fallback
bw_0173,Lag Jaa Gale Ke Phir,Lata Mangeshkar,Angry,4.92,TFr6G5zveS8,fallback
bw_0174,Piya Tose Naina Laage Re,Lata Mangeshkar,Angry,4.9,SMKOwKskomc,fallback
bw_0175,Yeh Sham Mastani Madhosh Kiye Jaye,Kishore Kumar,Angry,4.89,wp7zOathDFo,fallback
bw_0176,Is Mod Se Jaate Hain,Lata Mangeshkar,Angry,4.86,STOM6NZfcrs,fallback
bw_0177,Chaudhvin Ka Chand Ho,Mohammed Rafi,Angry,4.83,7gnFnRaKNsQ,fallback
bw_0178,Rajnigandha Phool Tumhare,Lata Mangeshkar,Angry,4.83,_j5dRsWevdM,fallback
bw_0179,Chupke Se,Sadhna Sargam,Angry,4.83,_-1G5MUgfs8,fallback
bw_0180,Suhani Raat Dhal Chuki Naa Jaane Tum Kab Aaoge,Mohammed Rafi,Angry,4.8,JyONjtSENTw,fallback
bw_0181,Aaj Ki Raat,Alisha Chinai,Neutral,4.5,OXOj4bUuzSg,acoustic
bw_0182,Out Of Control,Nikhil D'Souza,Neutral,4.0,FmSZLdbTf-Q,acoustic
bw_0183,Out Of Control (Choir Version),Marianne D'Cruz,Neutral,4.0,3Wmz7mF6LrI,acoustic
